9.7,肖申克的救赎,1994,美国,犯罪剧情,弗兰克·德拉邦特FrankDarabont 蒂姆·罗宾斯TimRobbins/...,希望让人自由。,2146769
9.6,霸王别姬,1993,中国大陆中国香港,剧情爱情同性,陈凯歌KaigeChen 张国荣LeslieCheung/张丰毅FengyiZha...,风华绝代。,1590278
9.5,阿甘正传,1994,美国,剧情爱情,罗伯特·泽米吉斯RobertZemeckis 汤姆·汉克斯TomHanks/...,一部美国近现代史。,1620924
9.4,这个杀手不太冷,1994,法国美国,剧情动作犯罪,吕克·贝松LucBesson 让·雷诺JeanReno/娜塔莉·波特曼...,怪蜀黍和小萝莉不得不说的故事。,1807021
9.4,泰坦尼克号,1997,美国,剧情爱情灾难,詹姆斯·卡梅隆JamesCameron 莱昂纳多·迪卡普里奥Leonardo...,失去的才是永恒的。 ,1574740
9.5,美丽人生,1997,意大利,剧情喜剧爱情战争,罗伯托·贝尼尼RobertoBenigni 罗伯托·贝尼尼RobertoBeni...,最美的谎言。,1008123
9.4,千与千寻,2001,日本,剧情动画奇幻,宫崎骏HayaoMiyazaki 柊瑠美RumiHîragi/入野自由Miy...,最好的宫崎骏，最好的久石让。 ,1687659
9.5,辛德勒的名单,1993,美国,剧情历史战争,史蒂文·斯皮尔伯格StevenSpielberg 连姆·尼森LiamNeeson...,拯救一个人，就是拯救整个世界。,825466
9.3,盗梦空间,2010,美国英国,剧情科幻悬疑冒险,克里斯托弗·诺兰ChristopherNolan 莱昂纳多·迪卡普里奥Le...,诺兰给了我们一场无法盗取的梦。,1574940
9.4,忠犬八公的故事,2009,美国英国,剧情,莱塞·霍尔斯道姆LasseHallström 理查·基尔RichardGer...,永远都不能忘记你所爱的人。,1075618
9.3,海上钢琴师,1998,意大利,剧情音乐,朱塞佩·托纳多雷GiuseppeTornatore 蒂姆·罗斯TimRoth/...,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,1285794
9.3,星际穿越,2014,美国英国加拿大冰岛,剧情科幻冒险,克里斯托弗·诺兰ChristopherNolan 马修·麦康纳MatthewMc...,爱是一种力量，让我们超越时空感知它的存在。,1247136
9.3,楚门的世界,1998,美国,剧情科幻,彼得·威尔PeterWeir 金·凯瑞JimCarrey/劳拉·琳妮Lau...,如果再也不能见到你，祝你早安，午安，晚安。,1164510
9.2,三傻大闹宝莱坞,2009,印度,剧情喜剧爱情歌舞,拉库马·希拉尼RajkumarHirani 阿米尔·汗AamirKhan/卡...,英俊版憨豆，高情商版谢耳朵。,1434051
9.3,机器人总动员,2008,美国,科幻动画冒险,安德鲁·斯坦顿AndrewStanton 本·贝尔特BenBurtt/艾丽...,小瓦力，大人生。,1013283
