9.2,鬼子来了,2000,中国大陆,剧情历史战争,姜文WenJiang 姜文WenJiang/香川照之TeruyukiKagawa/...,对敌人的仁慈，就是对自己残忍。,335522
9.1,指环王3：王者无敌,2003,美国新西兰,剧情动作奇幻冒险,彼得·杰克逊PeterJackson 维果·莫腾森ViggoMortensen/...,史诗的终章。,402574
9.4,十二怒汉,1957,美国,剧情,SidneyLumet 亨利·方达HenryFonda/马丁·鲍尔萨姆Marti...,1957年的理想主义。 ,238922
9.1,天空之城,1986,日本,动画奇幻冒险,宫崎骏HayaoMiyazaki 田中真弓MayumiTanaka/横泽启子Ke...,对天空的追逐，永不停止。 ,471469
9.0,摔跤吧！爸爸,2016,印度,剧情传记运动家庭,涅提·蒂瓦里NiteshTiwari 阿米尔·汗AamirKhan/法缇玛...,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,767280
8.9,飞屋环游记,2009,美国,剧情喜剧动画冒险,彼特·道格特PeteDocter/鲍勃·彼德森BobPeterson 爱德...,最后那些最无聊的事情，才是最值得怀念的。 ,718288
9.0,大话西游之月光宝盒,1995,香港中国大陆,喜剧爱情奇幻古装,刘镇伟JeffreyLau 周星驰StephenChow/吴孟达ManTatNg...,旷古烁今。,619549
9.0,搏击俱乐部,1999,美国德国,剧情动作悬疑惊悚,大卫·芬奇DavidFincher 爱德华·诺顿EdwardNorton/布拉...,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,515404
9.0,罗马假日,1953,美国,喜剧剧情爱情,威廉·惠勒WilliamWyler 奥黛丽·赫本AudreyHepburn/格...,爱情哪怕只有一天。,537365
9.0,哈尔的移动城堡,2004,日本,动画奇幻冒险,宫崎骏HayaoMiyazaki 倍赏千惠子ChiekoBaishô/木村拓...,带着心爱的人在天空飞翔。,521199
9.0,闻香识女人,1992,美国,剧情,马丁·布莱斯MartinBrest 阿尔·帕西诺AlPacino/克里斯...,史上最美的探戈。,459107
9.2,辩护人,2013,韩国,剧情,杨宇硕Woo-seokYang 宋康昊Kang-hoSong/吴达洙Dal-suO...,电影的现实意义大过电影本身。,317315
9.1,窃听风暴,2006,德国,剧情悬疑,弗洛里安·亨克尔·冯·多纳斯马尔克FlorianHenckelvonDonnersmarck  &n...,别样人生。,318808
9.1,两杆大烟枪,1998,英国,剧情喜剧犯罪,GuyRitchie JasonFlemyng/DexterFletcher/NickMoran,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,352855
9.1,末代皇帝,1987,英国意大利中国大陆法国美国,剧情传记历史,贝纳尔多·贝托鲁奇BernardoBertolucci 尊龙JohnLone/陈...,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,310178
9.1,飞越疯人院,1975,美国,剧情,米洛斯·福尔曼MilošForman 杰克·尼科尔森JackNichols...,自由万岁。,355518
9.0,死亡诗社,1989,美国,剧情,彼得·威尔PeterWeir 罗宾·威廉姆斯RobinWilliams/罗伯...,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,389670
9.2,素媛,2013,韩国,剧情,李濬益Jun-ikLee 薛景求Kyung-guSol/严志媛Ji-wonUhm...,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,287294
9.0,指环王2：双塔奇兵,2002,美国新西兰,剧情动作奇幻冒险,彼得·杰克逊PeterJackson 伊利亚·伍德ElijahWood/西恩...,承前启后的史诗篇章。,378112
9.0,寻梦环游记,2017,美国,喜剧动画奇幻音乐,李·昂克里奇LeeUnkrich/阿德里安·莫利纳AdrianMolina ...,死亡不是真的逝去，遗忘才是永恒的消亡。,731346
8.8,V字仇杀队,2005,美国英国德国,剧情动作科幻惊悚,詹姆斯·麦克特格JamesMcTeigue 娜塔莉·波特曼NataliePor...,一张面具背后的理想与革命。,595175
9.2,教父2,1974,美国,剧情犯罪,弗朗西斯·福特·科波拉FrancisFordCoppola 阿尔·帕西诺A...,优雅的孤独。,270034
9.0,指环王1：魔戒再现,2001,新西兰美国,剧情动作奇幻冒险,彼得·杰克逊PeterJackson 伊利亚·伍德ElijahWood/西恩...,传说的开始。,423769
9.3,海豚湾,2009,美国,纪录片,路易·西霍尤斯LouiePsihoyos RichardO'Barry/路易·西霍...,海豚的微笑，是世界上最高明的伪装。,234444
9.1,饮食男女,1994,台湾美国,剧情家庭,李安AngLee 郎雄SihungLung/杨贵媚Kuei-MeiYang/吴...,人生不能像做菜，把所有的料都准备好了才下锅。,290491
